regularInstances/a280.tsp
[PROGRESS] Epoch: 44, Interval: 1.00s, Time: 44.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 45, Interval: 1.00s, Time: 45.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 46, Interval: 1.00s, Time: 46.00s, Best Cost: 346989.0
[PROGRESS] Epoch: 47, Interval: 1.00s, Time: 47.00s, Best Cost: 346989.0
COST: 346989.0
TIME: 47.9
[PROGRESS] Time: 0.00s, Best Cost: 402456.0 (Seed Finish)
[PROGRESS] Epoch: 1, Interval: 1.00s, Time: 1.00s, Best Cost: 350454.0
[PROGRESS] Epoch: 2, Interval: 1.00s, Time: 2.00s, Best Cost: 349517.0
[PROGRESS] Epoch: 3, Interval: 1.00s, Time: 3.00s, Best Cost: 348422.0
[PROGRESS] Epoch: 4, Interval: 1.00s, Time: 4.00s, Best Cost: 348422.0
[PROGRESS] Epoch: 5, Interval: 1.00s, Time: 5.00s, Best Cost: 348422.0
[PROGRESS] Epoch: 6, Interval: 1.00s, Time: 6.00s, Best Cost: 348422.0
[PROGRESS] Epoch: 7, Interval: 1.00s, Time: 7.00s, Best Cost: 348422.0
[PROGRESS] Epoch: 8, Interval: 1.00s, Time: 8.00s, Best Cost: 348358.0
[PROGRESS] Epoch: 9, Interval: 1.00s, Time: 9.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 10, Interval: 1.00s, Time: 10.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 11, Interval: 1.00s, Time: 11.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 12, Interval: 1.00s, Time: 12.00s, Best Cost: 347776.0
[PROGRESS] Epoch: 13, Interval: 1.00s, Time: 13.00s, Best Cost: 347096.0
[PROGRESS] Epoch: 14, Interval: 1.00s, Time: 14.00s, Best Cost: 347096.0
[PROGRESS] Epoch: 15, Interval: 1.00s, Time: 15.00s, Best Cost: 347096.0
[PROGRESS] Epoch: 16, Interval: 1.00s, Time: 16.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 17, Interval: 1.00s, Time: 17.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 18, Interval: 1.00s, Time: 18.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 19, Interval: 1.00s, Time: 19.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 20, Interval: 1.00s, Time: 20.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 21, Interval: 1.00s, Time: 21.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 22, Interval: 1.00s, Time: 22.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 23, Interval: 1.00s, Time: 23.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 24, Interval: 1.00s, Time: 24.00s, Best Cost: 346995.0
[PROGRESS] Epoch: 25, Interval: 1.00s, Time: 25.00s, Best Cost: 346995.0
