
========================================
DATASET: ../TSPLIB/usa13509.tsp
NEW RUN STARTED: Tue Jun 30 07:58:38 2026
========================================
Time: 23.3338 | Cost: 131206674999
Time: 27.9984 | Cost: 131139624329
Time: 32.7134 | Cost: 131088302882
Time: 37.3778 | Cost: 131038714055
Time: 42.0423 | Cost: 130980002391
Time: 46.7068 | Cost: 130930904054
Time: 51.3711 | Cost: 130877371380
Time: 56.0356 | Cost: 130825926271
Time: 60.7 | Cost: 130776933663
Time: 65.3643 | Cost: 130738897387
Time: 70.0293 | Cost: 130693094561
Time: 74.6936 | Cost: 130645134307
Time: 79.3581 | Cost: 130610721578
Time: 84.0226 | Cost: 130563823169
Time: 88.687 | Cost: 130531185525
Time: 93.3515 | Cost: 130491418114
Time: 98.0159 | Cost: 130461025093
Time: 102.68 | Cost: 130424658634
Time: 107.345 | Cost: 130389569246
Time: 112.009 | Cost: 130362227563
Time: 116.674 | Cost: 130328909303
Time: 121.338 | Cost: 130302631875
Time: 126.002 | Cost: 130270444134
Time: 130.667 | Cost: 130245455565
Time: 135.331 | Cost: 130215674866
Time: 139.995 | Cost: 130186822375
Time: 144.66 | Cost: 130164303675
Time: 149.324 | Cost: 130136808603
Time: 153.989 | Cost: 130115414223
Time: 158.653 | Cost: 130090120408
Time: 163.317 | Cost: 130070474339
Time: 167.982 | Cost: 130046358307
Time: 172.646 | Cost: 130022715356
Time: 177.311 | Cost: 129999713108
Time: 181.975 | Cost: 129981632053
Time: 186.64 | Cost: 129959359954
Time: 191.304 | Cost: 129941786826
Time: 195.969 | Cost: 129917275493
Time: 200.633 | Cost: 129900413389
Time: 205.297 | Cost: 129879981745
Time: 209.962 | Cost: 129859903648

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 08:35:58 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.0208 | Cost: 801068404
Time: 14.0415 | Cost: 800145367
Time: 21.0623 | Cost: 799460174
Time: 28.0832 | Cost: 798892339
Time: 35.1039 | Cost: 798374410
Time: 42.1248 | Cost: 797893523
Time: 49.1455 | Cost: 797457765
Time: 56.1662 | Cost: 797076213
Time: 63.1893 | Cost: 796680969
Time: 70.2148 | Cost: 796331899
Time: 77.2356 | Cost: 796010388
Time: 84.2564 | Cost: 795702577
Time: 91.2771 | Cost: 795411478
Time: 98.2979 | Cost: 795083495
Time: 105.319 | Cost: 794797147
Time: 112.339 | Cost: 794525839
Time: 119.36 | Cost: 794268940
Time: 126.381 | Cost: 793978208
Time: 133.402 | Cost: 793735814
Time: 140.422 | Cost: 793519517
Time: 147.443 | Cost: 793249933
Time: 154.464 | Cost: 793022985
Time: 161.484 | Cost: 792799548
Time: 168.505 | Cost: 792538501
Time: 175.526 | Cost: 792321636
Time: 182.547 | Cost: 792126086
Time: 189.567 | Cost: 791889105
Time: 196.588 | Cost: 791663924
Time: 203.609 | Cost: 791469757
Time: 210.63 | Cost: 791243147
Time: 217.651 | Cost: 791043202
Time: 224.671 | Cost: 790851208
Time: 231.692 | Cost: 790676059
Time: 238.713 | Cost: 790517789
Time: 245.734 | Cost: 790349542
Time: 252.754 | Cost: 790186588
Time: 259.775 | Cost: 790004040
Time: 266.796 | Cost: 789852000
Time: 273.817 | Cost: 789715311
Time: 280.837 | Cost: 789469928

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 08:40:55 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.0208 | Cost: 800984154
Time: 14.0416 | Cost: 800020059
Time: 21.0624 | Cost: 799355265
Time: 28.0831 | Cost: 798766944
Time: 35.1038 | Cost: 798211814
Time: 42.1246 | Cost: 797705727
Time: 49.1453 | Cost: 797282620
Time: 56.1661 | Cost: 796875621
Time: 63.1869 | Cost: 796453253
Time: 70.2078 | Cost: 796068464
Time: 77.2285 | Cost: 795702577
Time: 84.2492 | Cost: 795385672
Time: 91.2698 | Cost: 795034535
Time: 98.2906 | Cost: 794750851
Time: 105.311 | Cost: 794460440
Time: 112.332 | Cost: 794205957
Time: 119.353 | Cost: 793916881
Time: 126.374 | Cost: 793636568
Time: 133.395 | Cost: 793364804
Time: 140.415 | Cost: 793117022
Time: 147.436 | Cost: 792892505
Time: 154.457 | Cost: 792611607
Time: 161.478 | Cost: 792375486
Time: 168.498 | Cost: 792161408
Time: 175.519 | Cost: 791923291
Time: 182.54 | Cost: 791696770
Time: 189.561 | Cost: 791485651
Time: 196.581 | Cost: 791211928
Time: 203.602 | Cost: 791028349
Time: 210.623 | Cost: 790836522
Time: 217.644 | Cost: 790661547
Time: 224.664 | Cost: 790475356
Time: 231.685 | Cost: 790308342
Time: 238.706 | Cost: 790133660
Time: 245.727 | Cost: 789965829
Time: 252.747 | Cost: 789801888
Time: 259.768 | Cost: 789642072
Time: 266.789 | Cost: 789387175
Time: 273.81 | Cost: 789248582
Time: 280.83 | Cost: 789091270

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 08:45:55 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.02081 | Cost: 800984154
Time: 14.0417 | Cost: 800082167
Time: 21.0624 | Cost: 799460174
Time: 28.0831 | Cost: 798892339
Time: 35.1039 | Cost: 798333634
Time: 42.1246 | Cost: 797855019
Time: 49.1453 | Cost: 797457765
Time: 56.1663 | Cost: 797042373
Time: 63.187 | Cost: 796607217
Time: 70.2079 | Cost: 796243421
Time: 77.2288 | Cost: 795895461
Time: 84.2496 | Cost: 795594688
Time: 91.2703 | Cost: 795282962
Time: 98.291 | Cost: 794961999
Time: 105.312 | Cost: 794682225
Time: 112.333 | Cost: 794417562
Time: 119.353 | Cost: 794164165
Time: 126.374 | Cost: 793896669
Time: 133.395 | Cost: 793616854
Time: 140.416 | Cost: 793364804
Time: 147.436 | Cost: 793135958
Time: 154.457 | Cost: 792911112
Time: 161.478 | Cost: 792648397
Time: 168.499 | Cost: 792429599
Time: 175.52 | Cost: 792214511
Time: 182.54 | Cost: 792004660
Time: 189.561 | Cost: 791746384
Time: 196.582 | Cost: 791566174
Time: 203.602 | Cost: 791321283
Time: 210.623 | Cost: 791119006
Time: 217.644 | Cost: 790939519
Time: 224.665 | Cost: 790763395
Time: 231.685 | Cost: 790589190
Time: 238.706 | Cost: 790419098
Time: 245.727 | Cost: 790253750
Time: 252.748 | Cost: 790094398
Time: 259.768 | Cost: 789927780
Time: 266.789 | Cost: 789777020
Time: 273.81 | Cost: 789629974
Time: 280.831 | Cost: 789387175

========================================
DATASET: ../TSPLIB/fma21553.tsp
NEW RUN STARTED: Tue Jun 30 08:50:55 2026
========================================
Time: 0.0000 | Cost: 802410166
Time: 7.02072 | Cost: 801068404
Time: 14.0415 | Cost: 800145367
Time: 21.0623 | Cost: 799460174
Time: 28.083 | Cost: 798892339
Time: 35.1037 | Cost: 798374410
